,Kołobrzeg - Olsztyn Główny - Białogard,392,EIP5301,20220301 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,EIP5301,20220301 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,448,EIC5201,20220301 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,EIC5201,20220301 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,IC5101,20220301 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,IC5101,20220301 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,TLK83001,20220301 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,TLK83001,20220301 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,EIP5301,20220302 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIP5301,20220302 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,560,EIC5201,20220302 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,EIC5201,20220302 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,IC5101,20220302 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,504,IC5101,20220302 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,TLK83001,20220302 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,392,TLK83001,20220302 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,448,EIP5301,20220303 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIP5301,20220303 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,EIC5201,20220303 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIC5201,20220303 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,IC5101,20220303 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,IC5101,20220303 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,TLK83001,20220303 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,392,TLK83001,20220303 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,EIP5301,20220304 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIP5301,20220304 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,EIC5201,20220304 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,EIC5201,20220304 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,448,IC5101,20220304 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,504,IC5101,20220304 14:00
