,Kołobrzeg - Olsztyn Główny - Białogard,504,EIP5301,20220201 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIP5301,20220201 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,560,EIC5201,20220201 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,EIC5201,20220201 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,IC5101,20220201 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,IC5101,20220201 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,TLK83001,20220201 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,392,TLK83001,20220201 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,560,EIP5301,20220202 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,504,EIP5301,20220202 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,EIC5201,20220202 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,504,EIC5201,20220202 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,IC5101,20220202 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,IC5101,20220202 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,560,TLK83001,20220202 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,TLK83001,20220202 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,560,EIP5301,20220203 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,EIP5301,20220203 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,EIC5201,20220203 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,EIC5201,20220203 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,IC5101,20220203 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,448,IC5101,20220203 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,TLK83001,20220203 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,336,TLK83001,20220203 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,504,EIP5301,20220204 8:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,EIP5301,20220204 10:00
,Kołobrzeg - Olsztyn Główny - Białogard,448,EIC5201,20220204 10:00
,Białogard - Olsztyn Główny - Kołobrzeg,392,EIC5201,20220204 12:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,IC5101,20220204 12:00
,Białogard - Olsztyn Główny - Kołobrzeg,560,IC5101,20220204 14:00
,Kołobrzeg - Olsztyn Główny - Białogard,392,TLK83001,20220204 14:00
,Białogard - Olsztyn Główny - Kołobrzeg,504,TLK83001,20220204 16:00
,Kołobrzeg - Olsztyn Główny - Białogard,336,EIP5301,20220205 8:00
