1,12,551,133,10
8,12,541,206,10
14,12,531,259,10
19,12,521,278,10
23,12,511,256,10
26,12,501,211,10
28,12,491,121,10
29,12,601,83,10
36,12,611,146,10
42,12,621,173,10
47,12,631,186,10
51,12,641,155,10
54,12,651,131,10
56,12,661,70,10
57,12,671,144,10
64,12,661,245,10
70,12,651,313,10
75,12,641,325,10
79,12,631,304,10
82,12,621,244,10
84,12,611,147,10
85,12,721,130,10
92,12,731,221,10
98,12,741,285,10
103,12,751,318,10
107,12,761,286,10
110,12,771,243,10
112,12,781,164,10
113,12,791,88,10
120,12,781,150,10
126,12,771,207,10
131,12,761,221,10
135,12,751,210,10
138,12,741,163,10
140,12,731,94,10
141,12,841,84,10
148,12,851,157,10
154,12,861,189,10
159,12,871,224,10
163,12,881,213,10
166,12,891,157,10
168,12,901,80,10
169,12,911,126,10
176,12,901,205,10
182,12,891,262,10
187,12,881,271,10
191,12,871,260,10
194,12,861,202,10
196,12,851,123,10
197,12,961,94,10
204,12,971,157,10
210,12,981,195,10
215,12,991,216,10
219,12,1001,197,10
222,12,1011,152,10
224,12,1021,93,10
225,13,551,127,10
232,13,541,237,10
238,13,531,283,10
243,13,521,301,10
247,13,511,296,10
250,13,501,240,10
252,13,491,144,10
253,13,601,117,10
260,13,611,197,10
266,13,621,246,10
271,13,631,271,10
275,13,641,247,10
278,13,651,215,10
280,13,661,129,10
281,13,671,88,10
288,13,661,161,10
294,13,651,193,10
299,13,641,210,10
303,13,631,201,10
306,13,621,160,10
308,13,611,98,10
309,13,721,117,10
316,13,731,187,10
322,13,741,247,10
327,13,751,284,10
331,13,761,263,10
334,13,771,219,10
336,13,781,137,10
337,13,791,118,10
344,13,781,216,10
350,13,771,272,10
355,13,761,296,10
359,13,751,263,10
362,13,741,205,10
364,13,731,124,10
365,13,841,89,10
372,13,851,148,10
378,13,861,183,10
383,13,871,205,10
387,13,881,178,10
390,13,891,132,10
392,13,901,69,10
393,13,911,136,10
400,13,901,230,10
406,13,891,284,10
411,13,881,310,10
415,13,871,288,10
418,13,861,227,10
420,13,851,130,10
421,13,961,118,10
428,13,971,187,10
434,13,981,246,10
439,13,991,253,10
443,13,1001,246,10
446,13,1011,193,10
448,13,1021,116,10
449,14,551,136,10
456,14,541,214,10
462,14,531,291,10
467,14,521,310,10
471,14,511,282,10
474,14,501,226,10
476,14,491,141,10
477,14,601,116,10
484,14,611,183,10
490,14,621,230,10
495,14,631,239,10
499,14,641,234,10
502,14,651,171,10
504,14,661,91,10
505,14,671,82,10
512,14,661,123,10
518,14,651,155,10
523,14,641,179,10
527,14,631,175,10
530,14,621,152,10
532,14,611,87,10
533,14,721,90,10
540,14,731,141,10
546,14,741,163,10
551,14,751,178,10
555,14,761,173,10
558,14,771,140,10
560,14,781,82,10
561,14,791,81,10
568,14,781,154,10
574,14,771,193,10
579,14,761,205,10
583,14,751,184,10
586,14,741,150,10
588,14,731,95,10
589,14,841,115,10
596,14,851,171,10
602,14,861,217,10
607,14,871,245,10
611,14,881,241,10
614,14,891,182,10
616,14,901,106,10
617,14,911,87,10
624,14,901,153,10
630,14,891,207,10
635,14,881,215,10
639,14,871,206,10
642,14,861,160,10
644,14,851,90,10
645,14,961,82,10
652,14,971,147,10
658,14,981,184,10
663,14,991,213,10
667,14,1001,206,10
670,14,1011,156,10
672,14,1021,92,10
673,15,551,131,10
680,15,541,215,10
686,15,531,257,10
691,15,521,272,10
695,15,511,248,10
698,15,501,188,10
700,15,491,112,10
701,15,601,145,10
708,15,611,230,10
714,15,621,287,10
719,15,631,295,10
723,15,641,280,10
726,15,651,234,10
728,15,661,152,10
729,15,671,105,10
736,15,661,183,10
742,15,651,221,10
747,15,641,240,10
751,15,631,206,10
754,15,621,173,10
756,15,611,127,10
757,15,721,90,10
764,15,731,168,10
770,15,741,204,10
775,15,751,217,10
779,15,761,200,10
782,15,771,156,10
784,15,781,82,10
785,15,791,103,10
792,15,781,149,10
798,15,771,194,10
803,15,761,207,10
807,15,751,195,10
810,15,741,144,10
812,15,731,85,10
813,15,841,137,10
820,15,851,248,10
826,15,861,294,10
831,15,871,291,10
835,15,881,279,10
838,15,891,197,10
840,15,901,126,10
841,15,911,85,10
848,15,901,158,10
854,15,891,196,10
859,15,881,215,10
863,15,871,202,10
866,15,861,159,10
868,15,851,95,10
869,15,961,118,10
876,15,971,215,10
882,15,981,248,10
887,15,991,267,10
891,15,1001,254,10
894,15,1011,204,10
896,15,1021,123,10
897,16,551,90,10
904,16,541,130,10
910,16,531,157,10
915,16,521,175,10
919,16,511,173,10
922,16,501,137,10
924,16,491,84,10
925,16,601,132,10
932,16,611,198,10
938,16,621,236,10
943,16,631,237,10
947,16,641,215,10
950,16,651,181,10
952,16,661,104,10
