1,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
2,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIP5301,0
3,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIC5201,0
4,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIC5201,0
5,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
6,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,IC5101,0
7,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,TLK83001,0
8,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,TLK83001,0
9,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
10,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIP5301,0
11,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIC5201,0
12,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIC5201,0
13,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,IC5101,0
14,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,IC5101,0
15,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,TLK83001,0
16,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,TLK83001,0
17,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
18,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,EIP5301,0
19,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIC5201,0
20,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIC5201,0
21,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
22,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,IC5101,0
23,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,TLK83001,0
24,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,TLK83001,0
25,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
26,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIP5301,0
27,Kołobrzeg - Olsztyn Główny - Białogard,medium,medium,EIC5201,0
28,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIC5201,0
29,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
30,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,IC5101,0
31,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,TLK83001,0
32,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,TLK83001,0
33,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIP5301,0
34,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,EIP5301,0
35,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIC5201,0
36,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIC5201,0
37,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
38,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,IC5101,0
39,Kołobrzeg - Olsztyn Główny - Białogard,medium,medium,TLK83001,0
40,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,TLK83001,0
41,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIP5301,0
42,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,EIP5301,0
43,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIC5201,0
44,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIC5201,0
45,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
46,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,IC5101,0
47,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,TLK83001,0
48,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,TLK83001,0
49,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
50,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIP5301,0
51,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIC5201,0
52,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,EIC5201,0
53,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,IC5101,0
54,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,IC5101,0
55,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,TLK83001,0
56,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,TLK83001,0
57,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIP5301,0
58,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIP5301,0
59,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,EIC5201,0
60,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,EIC5201,0
61,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,IC5101,0
62,Białogard - Olsztyn Główny - Kołobrzeg,large,medium,IC5101,0
63,Kołobrzeg - Olsztyn Główny - Białogard,medium,medium,TLK83001,0
64,Białogard - Olsztyn Główny - Kołobrzeg,medium,medium,TLK83001,0
65,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIP5301,0
66,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIP5301,0
67,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIC5201,0
68,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,EIC5201,0
69,Kołobrzeg - Olsztyn Główny - Białogard,large,medium,IC5101,0
70,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,IC5101,0
71,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,TLK83001,0
72,Białogard - Olsztyn Główny - Kołobrzeg,small,medium,TLK83001,0
73,Kołobrzeg - Olsztyn Główny - Białogard,small,medium,EIP5301,0
